Path is: working/SA250_microscopy_interpolated_PCHIP.csv
i	j	length	error
12	62	51	51.2471
12	63	52	43.7633
13	44	32	115.8804
13	45	33	113.8402
13	46	34	111.4473
13	47	35	108.7055
13	48	36	105.5376
13	49	37	101.8498
13	50	38	98.7039
13	51	39	96.8908
13	52	40	95.7287
13	53	41	94.5001
13	54	42	92.7706
13	55	43	90.3516
13	56	44	87.5363
13	57	45	84.5133
13	58	46	81.1491
13	59	47	77.2334
13	60	48	72.4910
13	61	49	66.5628
13	62	50	59.2947
13	63	51	51.2471
14	45	32	115.8804
14	46	33	113.8402
14	47	34	111.4473
14	48	35	108.7055
14	49	36	105.5376
14	50	37	101.8498
14	51	38	98.7039
14	52	39	96.8908
14	53	40	95.7287
14	54	41	94.5001
14	55	42	92.7706
14	56	43	90.3516
14	57	44	87.5363
14	58	45	84.5133
14	59	46	81.1491
14	60	47	77.2334
14	61	48	72.4910
14	62	49	66.5628
14	63	50	59.2947
15	46	32	115.8804
15	47	33	113.8402
15	48	34	111.4473
15	49	35	108.7055
15	50	36	105.5376
15	51	37	101.8498
15	52	38	98.7039
15	53	39	96.8908
15	54	40	95.7287
15	55	41	94.5001
15	56	42	92.7706
15	57	43	90.3516
15	58	44	87.5363
15	59	45	84.5133
15	60	46	81.1491
15	61	47	77.2334
15	62	48	72.4910
15	63	49	66.5628
16	47	32	115.8804
16	48	33	113.8402
16	49	34	111.4473
16	50	35	108.7055
16	51	36	105.5376
16	52	37	101.8498
16	53	38	98.7039
16	54	39	96.8908
16	55	40	95.7287
16	56	41	94.5001
16	57	42	92.7706
16	58	43	90.3516
16	59	44	87.5363
16	60	45	84.5133
16	61	46	81.1491
16	62	47	77.2334
16	63	48	72.4910
17	48	32	115.8804
17	49	33	113.8402
17	50	34	111.4473
17	51	35	108.7055
17	52	36	105.5376
17	53	37	101.8498
17	54	38	98.7039
17	55	39	96.8908
17	56	40	95.7287
17	57	41	94.5001
17	58	42	92.7706
17	59	43	90.3516
17	60	44	87.5363
17	61	45	84.5133
17	62	46	81.1491
17	63	47	77.2334
18	49	32	115.8804
18	50	33	113.8402
18	51	34	111.4473
18	52	35	108.7055
18	53	36	105.5376
18	54	37	101.8498
18	55	38	98.7039
18	56	39	96.8908
18	57	40	95.7287
18	58	41	94.5001
18	59	42	92.7706
18	60	43	90.3516
18	61	44	87.5363
18	62	45	84.5133
18	63	46	81.1491
19	50	32	115.8804
19	51	33	113.8402
19	52	34	111.4473
19	53	35	108.7055
19	54	36	105.5376
19	55	37	101.8498
19	56	38	98.7039
19	57	39	96.8908
19	58	40	95.7287
19	59	41	94.5001
19	60	42	92.7706
19	61	43	90.3516
19	62	44	87.5363
19	63	45	84.5133
20	51	32	115.8804
20	52	33	113.8402
20	53	34	111.4473
