gene,expr,timepoint
PF3D7_1434400,1.906830,15
PF3D7_1434400,1.739961,21
PF3D7_1434400,1.080508,54
PF3D7_0927300,1.588242,12
PF3D7_0927300,1.253555,48
PF3D7_1147600,1.256029,12
PF3D7_1147600,1.085767,45
PF3D7_1147600,21.116800,66
PF3D7_0522400,1.510118,15
PF3D7_0522400,1.346339,51
PF3D7_0712300,1.233640,27
PF3D7_0712300,1.968194,60
PF3D7_0712300,1.361521,66
PF3D7_1443600,1.283587,12
PF3D7_1443600,1.106293,48
PF3D7_0526600,2.422260,9
PF3D7_0526600,1.774359,42
PF3D7_0818600,3.057920,18
PF3D7_0818600,3.286930,51
PF3D7_0818600,5.467670,57
PF3D7_1330700,1.321339,6
PF3D7_1330700,1.290466,12
PF3D7_1330700,1.214632,48
PF3D7_1443000,1.246989,15
PF3D7_1443000,1.085261,51
PF3D7_1453200,1.432291,9
PF3D7_1453200,1.230810,15
PF3D7_1453200,1.107563,51
PF3D7_0831900,3.668230,21
PF3D7_0831900,1.374931,30
PF3D7_0831900,1.524067,66
PF3D7_0411800,1.315534,9
PF3D7_0411800,1.154425,45
PF3D7_0516100,1.238791,9
PF3D7_0516100,1.129261,42
PF3D7_1128700,1.211947,12
PF3D7_1128700,1.275247,42
PF3D7_1128700,1.091357,48
PF3D7_0908400,1.000000,15
PF3D7_0908400,1.118090,45
PF3D7_0908400,17.483400,66
PF3D7_1450500,1.311727,15
PF3D7_1450500,1.064565,51
PF3D7_0321100,1.241126,15
PF3D7_0321100,1.057626,51
PF3D7_1405400,1.919866,12
PF3D7_1405400,1.650703,39
PF3D7_0621700,1.843272,36
PF3D7_0531100,1.200445,15
PF3D7_0531100,1.214673,21
PF3D7_0531100,1.155687,51
PF3D7_1209500,1.179769,15
PF3D7_1209500,1.254264,21
PF3D7_1209500,1.000000,48
PF3D7_0421100,1.020137,24
PF3D7_0421100,1.009788,30
PF3D7_0421100,1.019786,63
PF3D7_0412900,1.050316,21
PF3D7_0412900,1.007268,27
PF3D7_0412900,1.007505,33
PF3D7_0412900,1.000000,66
PF3D7_0816400,1.496143,15
PF3D7_0816400,1.000000,51
PF3D7_1348100,1.000000,48
PF3D7_1348100,1.111770,54
PF3D7_0601900,18.767200,30
PF3D7_0936800,13.503400,30
PF3D7_0936800,15.503100,66
PF3D7_1335100,11.674400,15
PF3D7_1335100,8.299480,21
PF3D7_1335100,4.708250,54
PF3D7_0936600,5.451570,30
PF3D7_0932200,10.341630,15
PF3D7_0932200,8.624630,51
PF3D7_0532300,13.195500,33
PF3D7_0918000,7.460340,15
PF3D7_0918000,6.134480,51
PF3D7_0203400,6.119580,12
PF3D7_0203400,2.143340,45
PF3D7_0501200,24.319200,36
PF3D7_0808300,60.759300,18
PF3D7_0808300,54.467000,54
PF3D7_1357900,10.413530,33
PF3D7_0411000,18.758100,21
PF3D7_0411000,9.445700,30
PF3D7_0411000,13.522800,63
PF3D7_1138500,119.931000,21
PF3D7_1138500,93.922400,54
PF3D7_1138500,101.754000,60
PF3D7_1110600,2.422620,12
PF3D7_1110600,3.042420,45
PF3D7_1110600,199.911000,66
PF3D7_1035400,7.085110,15
PF3D7_1035400,5.458810,51
PF3D7_0710300,7.185900,36
PF3D7_0522500,3.278440,12
PF3D7_0522500,1.915905,45
PF3D7_0522500,164.893000,66
mal_mito_1,4.014040,12
mal_mito_1,4.197950,48
mal_mito_1,95.822000,66
PF3D7_1351000,87.768400,6
PF3D7_1351000,17.021800,27
PF3D7_1351000,65.476100,48
PF3D7_1351000,15.206600,63
PF3D7_1118200,11.554900,3
PF3D7_1118200,7.734800,33
PF3D7_0918200,1.541655,12
PF3D7_0918200,2.028210,45
PF3D7_0831600,3.235390,15
PF3D7_0831600,4.648090,21
PF3D7_0831600,2.309810,54
PF3D7_0603300,4.006450,36
PF3D7_1243500,4.785860,9
PF3D7_1243500,3.797060,15
PF3D7_1243500,2.957450,48
PF3D7_0403600,2.127100,12
PF3D7_0403600,1.499704,48
PF3D7_0525200,5.624140,12
PF3D7_0525200,5.390470,48
PF3D7_0525200,18.920700,63
PF3D7_1356100,1.624631,15
PF3D7_1356100,1.684924,51
PF3D7_0513500,32.584800,18
PF3D7_0513500,5.061070,36
PF3D7_1035800,2.279790,33
PF3D7_1035800,2.546820,66
PF3D7_0715200,1.431459,15
PF3D7_0715200,1.227401,51
PF3D7_0827600,2.126680,9
PF3D7_0827600,1.745976,42
PF3D7_0827600,36.075200,63
PF3D7_0706100,3.100070,12
PF3D7_0706100,2.661580,42
PF3D7_0106000,2.272080,15
PF3D7_0106000,1.546278,48
PF3D7_0927700,2.781640,9
PF3D7_0927700,1.317649,48
PF3D7_1342300,1.230363,9
PF3D7_1342300,1.683534,42
PF3D7_1367500,4.136870,12
PF3D7_1367500,2.214620,51
PF3D7_0313700,2.111920,9
PF3D7_0313700,1.267668,45
PF3D7_0827500,2.329890,9
PF3D7_0827500,1.850162,45
PF3D7_1472600,2.672070,12
PF3D7_1472600,1.632022,51
PF3D7_1312600,1.546192,15
PF3D7_1312600,1.777756,51
PF3D7_1449100,1.393997,15
PF3D7_1449100,1.133052,51
PF3D7_1340700,1.278574,12
PF3D7_1340700,2.026520,45
PF3D7_1340700,1.789733,51
PF3D7_0307600,1.398953,12
PF3D7_0307600,1.378662,45
PF3D7_0920200,2.265610,9
PF3D7_0920200,1.891633,45
PF3D7_0107400,1.761574,6
PF3D7_0107400,2.049000,12
PF3D7_0107400,1.000000,48
PF3D7_1345200,1.957604,6
PF3D7_1345200,1.667382,42
PF3D7_0204100,2.013290,12
PF3D7_0204100,1.923287,45
PF3D7_1322500,1.593071,12
PF3D7_1322500,1.210163,51
PF3D7_1365400,2.531420,33
PF3D7_0822000,1.691131,9
PF3D7_0822000,1.211306,45
PF3D7_0811000,1.385128,12
PF3D7_0811000,1.255392,48
PF3D7_1127500,2.011600,12
PF3D7_1127500,1.889553,45
PF3D7_1456500,1.524576,12
PF3D7_1456500,1.260338,45
PF3D7_1324500,1.481253,12
PF3D7_1324500,1.322430,45
PF3D7_0804400,2.744210,12
PF3D7_0804400,1.921385,45
PF3D7_0925800,3.771540,3
PF3D7_0925800,3.247380,39
PF3D7_0707800,2.116140,6
PF3D7_0707800,1.474350,45
PF3D7_1427300,1.576400,12
PF3D7_1427300,1.386177,45
PF3D7_1427300,21.008800,66
PF3D7_1371900,2.690220,3
PF3D7_1371900,1.470370,39
PF3D7_0905500,1.095769,15
PF3D7_0905500,1.093775,21
PF3D7_0905500,1.000000,51
PF3D7_1247000,1.304944,12
PF3D7_1247000,1.204308,45
PF3D7_1247000,1.172865,51
PF3D7_0728300,1.455021,6
PF3D7_0728300,1.156687,12
PF3D7_0728300,1.000000,42
PF3D7_0727500,1.188190,9
PF3D7_0727500,1.118157,45
PF3D7_1220300,1.290976,12
PF3D7_1220300,1.252286,45
PF3D7_1220300,1.213501,51
PF3D7_1315300,1.803770,15
PF3D7_1315300,1.312146,51
PF3D7_1013700,1.176119,6
PF3D7_1013700,1.270034,42
PF3D7_1348400,1.548085,6
PF3D7_1348400,1.259551,45
PF3D7_1348400,7.144970,63
PF3D7_1125100,1.611192,6
PF3D7_1125100,1.307272,15
PF3D7_1125100,1.211511,45
PF3D7_1023000,9.840640,6
PF3D7_1023000,6.675420,12
PF3D7_1023000,6.591570,18
PF3D7_1023000,7.973430,48
PF3D7_1023000,5.783630,57
PF3D7_0302600,1.173994,9
PF3D7_0302600,1.081569,45
PF3D7_1331000,3.353980,15
PF3D7_1331000,2.745200,21
PF3D7_1331000,4.148140,45
PF3D7_1331000,2.827120,54
PF3D7_0830100,2.399620,6
PF3D7_0830100,1.804737,42
PF3D7_0937800,1.282237,27
PF3D7_0937800,1.533149,66
PF3D7_1002600,1.359681,6
PF3D7_1002600,9.319870,24
PF3D7_1002600,1.241272,42
PF3D7_0833500,1.359405,27
PF3D7_0833500,1.474875,63
PF3D7_0522100,1.970732,15
PF3D7_0522100,1.630592,54
PF3D7_1413700,2.238240,18
PF3D7_1413700,1.980472,54
PF3D7_1413700,3.062070,63
PF3D7_0512800,1.383386,3
PF3D7_0512800,1.455221,39
PF3D7_0309900,1.285755,6
PF3D7_0309900,1.182743,12
PF3D7_0309900,1.150689,45
PF3D7_0108100,1.445189,6
PF3D7_0108100,1.799772,39
PF3D7_0108100,1.726867,48
PF3D7_0400400,1.153581,27
PF3D7_0400400,1.429447,60
PF3D7_0400400,1.259448,66
PF3D7_0619300,1.252329,6
PF3D7_0619300,1.140567,45
PF3D7_0619300,5.888340,63
PF3D7_1122100,1.252489,12
PF3D7_1122100,1.853066,39
PF3D7_1122100,1.087066,48
PF3D7_1304600,1.107211,6
PF3D7_1304600,1.150682,42
