,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
PF3D7_0831700,179.556,196.7141360425,230.427738126,271.617,354.8839691605,480.8502785305,589.4655,751.165747835,1023.793750238,1328.409,2694.2190991,3304.13881458,3995.55,4803.64003951,5732.59194243,6790.94,8397.42928829,10201.4046441,11057.3,10893.785185200002,10590.1148148,10426.6,12146.803770100001,15767.896429100001,18980.6,21408.914682,23573.2851188,24509.1,23310.5423273,20782.029099,18524.3,17169.735552500002,15994.3425312,14564.3,12400.459286399999,9774.57697169,7379.19,5200.04515607,3193.24274688,2006.85,1499.65755265,1144.56877633,1010.82,1011.24518519,1012.03481481,1012.46,993.1116225,942.2416894439999,870.613,657.124125371,342.799562686,181.59099999999998,183.59132242,189.18808928400003
PF3D7_1317400,31.7125,28.7763608094,25.56857598485,23.00715,21.3872131426,20.1018841122,18.71615,17.113114183999997,15.6276612275,14.50245,11.1422226301,9.66725291355,8.93516,8.75838935016,8.643953008410001,8.60327,9.19485330287,10.6043321613,12.2838,14.504443621199998,17.261158262000002,19.5916,21.044068283199998,22.2475205804,23.8606,27.339143221500002,31.849881542800002,34.6178,35.2763165706,35.6617418941,36.3034,37.8796865629,40.8217625656,45.2881,64.99868539890001,96.0712760328,112.26100000000001,111.63483544399999,109.932004222,107.416,97.1469772595,81.0456830742,72.6665,73.8556962963,76.0642037037,77.2534,74.3580519082,67.68772603869999,60.266000000000005,52.066441765600004,42.7420170336,34.8354,28.763599448,23.5408800865
PF3D7_1208300,34.9208,32.34687982415,29.507777964949998,26.874000000000002,24.673376400800002,22.6640844629,20.61215,17.6760009592,14.27956111005,12.0871,9.76008697636,8.30850536334,7.0815,5.8336153478799995,4.72807222385,4.22353,4.18035171123,4.1537547445,4.14468,4.44581852337,5.14818593563,5.95021,6.70390417689,7.623119479439999,8.94904,12.522350098499999,17.7762060901,21.3405,22.4767438238,23.2083586181,24.3081,26.8309524498,30.6522338675,34.7752,38.5817724518,42.779949077800005,48.3621,60.782338419700004,76.9290469876,84.946,83.0877592593,79.63674074069999,77.7785,86.41377777780001,102.45072222200001,111.086,103.652805139,87.59263249979999,72.2646,60.4163697599,49.1857327138,39.516999999999996,30.7567151045,23.0063480989
PF3D7_1452700,63.569649999999996,60.716547508450006,57.930818112000004,55.6887,53.27298140155,50.4024848519,48.207499999999996,45.3409030595,41.468127754550004,39.238299999999995,32.8615774599,32.3007264858,31.5409,29.931539595700002,27.8304435921,26.3202,25.655106271599998,25.1821156872,24.6228,23.612512894400002,22.4646620028,21.9179,23.0085746137,25.1596714495,26.6898,27.150697962600002,27.4492975439,27.936999999999998,29.2740061656,31.6123539009,34.5412,38.3905545344,43.6254995939,50.0378,58.3549240493,69.0726705297,81.6353,101.57710717799999,124.67874247799999,135.754,135.602592593,135.321407407,135.17,138.284787205,144.779796632,150.381,154.33279596100002,157.764620203,159.23,144.23376476200002,113.921040634,90.3058,78.4266471697,69.1697219575
PF3D7_0312000,54.9059,51.818445550099995,47.895991126300004,43.61185,36.6260978791,28.135776905150003,23.91965,24.367913596950004,25.332072013850002,25.782850000000003,19.6464805402,15.414933053099999,11.9492,9.892692019530001,8.20717627171,7.14233,6.637496603580001,6.297131508810001,5.868580000000001,4.99196683508,3.9473511953199996,3.4419800000000005,3.62726931755,4.06889641288,4.5955,5.34078912209,6.25533286349,6.89306,7.177673454430001,7.380107958200001,7.575139999999999,7.744579234089999,7.907305374600001,8.1937,10.1895004815,14.5271969226,19.9073,26.4652667841,35.458182487399995,47.269,72.5491863914,105.51509319600001,121.897,121.699185185,121.331814815,121.134,144.38462963,187.56437037,210.815,175.371737392,108.47545256299999,69.2764,65.3197734327,63.121803487
PF3D7_1110600,115.74745000000001,105.4392692641,92.95087843830001,85.7747,80.54611154880001,71.94097737655,64.51245,59.4585421932,55.085060923949996,51.606849999999994,26.621494750300002,22.315175322199998,19.3184,17.1976345187,15.5445693758,14.8752,14.8718206209,14.8702788082,14.8669,13.8052956125,11.8358104426,10.76487,10.7485435219,10.7386789831,10.73537,11.884768924100001,14.2105745149,16.0292,17.0209102999,17.8110162611,18.1335,17.031181481500003,14.9840185185,13.8817,15.2710532613,18.0985620781,20.3534,21.2592677966,21.918650932600002,23.1389,35.685527751,59.6152673484,79.6723,90.55912716590001,99.3982834997,109.564,124.509552645,141.4437229,154.374,163.297441599,170.51344302200002,173.483,168.782119199,157.49168284299998
PF3D7_1300100,1.7761299999999998,1.894756183675,2.03761720378,2.1081700000000003,2.13334956817,2.2311695824599997,2.441705,3.397607079455,5.052217088995,6.426645000000001,11.006154239,12.8956460084,13.7268,13.4127851852,12.8296148148,12.5156,14.320482243699999,17.7995867096,20.0496,20.4977138516,20.7573855454,21.2047,22.6014949594,25.2058249357,28.6381,36.091663392,46.0371483626,51.0109,44.9867088969,33.4262511271,26.0977,24.7115437589,23.8904808752,22.771,20.653777841900002,17.8341292307,14.9405,11.8954305445,8.76981059735,6.41461,4.84753665975,3.6054550808599997,2.81807,2.34427804783,1.9954204865,1.829869,1.79076934751,1.7681820646400002,1.740851,1.68686136771,1.6251350727399998,1.5956709999999998,1.6491359819999998,1.77646051955
PF3D7_1000100,1.660093,1.7650508303399999,1.8814041061599998,1.941747,1.955249983835,2.027126905195,2.234037,3.21797955353,4.78972960028,5.779109999999999,8.96876058343,9.228476905379999,9.64022,10.7211949926,12.4567565459,14.368,16.6068750068,19.0919836682,20.9944,22.189987183600003,23.133288919,23.8634,24.3145440963,24.6593455137,25.2945,33.858013156999995,48.8056621341,56.7608,49.3124807686,34.9529170927,25.6602,23.6396984917,22.3993948446,20.8713,18.375470011300003,15.3784978867,12.5322,9.85830300154,7.31242065403,5.4472,4.23549234788,3.29355633561,2.63915,2.14609411777,1.7591754477700001,1.602601,1.7324248148099997,1.9735261851900003,2.10335,1.90622637037,1.54013962963,1.343016,1.4077619925,1.55598154056
PF3D7_0518100,9.282815,8.925009590150001,8.408316809165001,7.923304999999999,7.287188131335,6.48589251306,5.963054999999999,5.85441952107,5.857623714715,5.759145,3.6510098258899997,2.88072769072,2.51119,2.6184611498400003,2.82501007746,2.9579400000000002,2.9835967546900006,2.9983280700200003,3.0242400000000003,3.1168100427599996,3.29093280419,3.5078400000000003,3.79063775498,4.17281996448,4.6312,5.22420252981,5.9603561224699995,6.741630000000001,7.4809380052,8.274972392210001,9.30137,11.037969329400001,13.3278698825,15.3966,16.9663481267,18.377015577799998,19.7807,21.530936337300002,23.2742890369,24.1024,24.159453657100002,24.1944823841,24.2064,22.7382666667,20.0117333333,18.5436,19.2090407407,20.4448592593,21.1103,18.89755347,14.4970513845,11.2654,9.81134935629,8.71210578926
PF3D7_0600200,2.348095,2.6446875736899997,2.99477775907,3.1636365,3.1024790076899995,3.058883404275,3.242665,4.68562437252,7.259304657005,9.433135,15.9942319299,19.3061881872,20.7893,20.1423703704,18.9409296296,18.294,20.7228855212,25.406571042399996,28.4406,29.0464393688,29.396601967800002,30.0132,32.2560823745,36.4753070936,41.6783,50.7859899026,62.0808227291,67.6125,60.7381625326,47.2142917318,37.6896,34.5658624109,32.437479085999996,30.2421,27.7247349399,25.1347211965,22.1662,18.0882116149,13.4293795718,9.77322,7.29047616352,5.27516874473,3.9957300000000004,3.2239698567799997,2.65187215061,2.42813,2.4448937037,2.4760262963,2.4927900000000003,2.28116262963,1.88814037037,1.6765130000000001,1.8032852226,2.11171011188
PF3D7_0420700,1.2849085,1.3809795611450002,1.5064517312149999,1.5945424999999998,1.6289891149,1.68740401998,1.8438175,2.705226888835,4.17560381383,5.27444,8.464418274149999,9.4977713593,9.93394,9.37597777778,8.33976222222,7.7818,8.5096807448,9.99125037849,11.1734,11.6785342884,12.054510811199998,12.6364,14.2101993502,16.7013304789,19.154,21.6962552246,24.2020387234,25.3344,22.9890520495,18.4621040989,15.5172,14.8699624023,14.4747476197,13.9533,13.0933746552,11.9632065918,10.605260000000001,8.55234992987,6.07065394378,4.3026800000000005,3.39850961356,2.7261994070399997,2.25522,1.8809566070599997,1.5845050813100001,1.463902,1.64189333333,1.9724486666699999,2.15044,1.90705648148,1.45505851852,1.211675,1.23773667751,1.30186768836
PF3D7_0600400,1.3839190000000001,1.376415339595,1.342581820015,1.329038,1.3588534916100001,1.4218983947800001,1.514993,1.804269701885,2.30422292394,2.784216,4.74374459385,5.6505328524800005,6.05997,6.055521111109999,6.047258888890001,6.04281,6.2856130523000004,6.777678326830001,7.16449,7.32024126893,7.4332372503299995,7.6201300000000005,8.12401335649,9.1010199447,10.537360000000001,15.7094712003,23.5742956001,27.6388,23.187261244800002,14.835355822999999,10.08715,9.7746622125,9.60464371504,9.39326,9.09062210113,8.716289419839999,8.1906,6.987706643739999,5.23813891491,3.8468,2.9551217389599995,2.22775288623,1.854422,1.7585245378999999,1.70204488708,1.632595,1.49250417583,1.33018069902,1.2523549999999999,1.25584455023,1.26508521157,1.278235,1.31044091936,1.36314815606
PF3D7_0115700,1.3138705000000002,1.358839471745,1.411493881345,1.4438075000000001,1.450835978445,1.45355469227,1.462817,1.7002817895000002,2.177596096215,2.5905955,3.9404435453400004,4.43049978542,4.84734,5.140884423819999,5.3883582064699995,5.758369999999999,6.91151193157,8.562989185589998,9.463330000000001,9.53131682019,9.564864524439999,9.6332,10.4151324611,12.049239373099999,13.7944,15.8582321062,18.0634327198,19.0915,17.9519140306,15.5730836167,13.5149,12.3016206042,11.2771655224,10.23092,9.09742114939,7.94079051709,6.744789999999999,5.3432803902599995,3.89818510976,2.88536,2.29740172703,1.85199439443,1.612625,1.5095984032299998,1.43893653495,1.4127020000000001,1.46840203704,1.57184496296,1.627545,1.50363903704,1.27352796296,1.149622,1.21439742626,1.3434477414100001
PF3D7_0314300,6.92107,6.47424932146,5.902138904465,5.389885,4.946424652185001,4.49043779183,4.071685,3.621274836415,3.1494072709700003,2.8244800000000003,1.9386402045299997,1.7412923213299998,1.609747,1.5258769209799998,1.4643345023199998,1.4060700000000002,1.3324077220000001,1.26158063878,1.229902,1.28880069048,1.4009418254,1.469493,1.48000816206,1.48617817334,1.493376,1.50207937444,1.5123042668200002,1.5287309999999998,1.58437775968,1.69271201189,1.829088,2.08298626838,2.40555946752,2.56467,2.5041770370400003,2.3918329629599997,2.33134,2.96299545315,4.3898442396399995,5.90971,7.610592908410001,9.42913662072,10.43613,10.6911508891,10.859399889,10.9201,9.91568296296,8.05033703704,7.04592,7.876094074069999,9.417845925930001,10.24802,9.08255564835,6.86376240781
