time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63	66	69
PF3D7_0106700	23.4827	42.719	118.773	103.691	84.4678	74.0895	91.2481	67.275	62.7722	72.0506	85.5473	70.57	39.3931	24.1749	17.7796	21.1291	51.7716	53.155	57.2295	66.1174	71.9134	72.5774	70.1913	68.7099
PF3D7_0106800	111.749	35.4663	4.01878	5.19012	8.02944	10.98134	10.92745	12.187	19.8372	21.0799	32.3592	41.3574	54.2275	77.0487	116.368	104.85	41.0491	57.5738	17.488	9.37011	13.1812	12.8466	11.3572	15.1061
PF3D7_0106900	17.1261	5.58215	1.465939	1.200848	1.495987	1.223274	1.185505	1.182717	1.180587	1.471014	2.2911	4.80814	18.1156	23.8873	22.6818	19.4206	7.14306	8.9105	2.99281	1.629172	1.495457	1.237466	1.222027	1.174957
PF3D7_0107000	258.221	76.9622	11.5419	4.44601	3.25018	1.420963	1.489655	2.60765	2.19169	3.27935	14.2532	30.3608	160.652	261.483	334.907	284.409	80.0486	108.213	17.7046	5.29027	3.4091	2.1193	2.77911	3.18078
PF3D7_0107100	2.93677	1.313192	1.2798	1.506566	1.0868711	1	1.155956	1	1.0506072	1.219993	3.05028	5.81865	8.86181	8.26029	5.14099	2.7112	2.23734	1.767359	1.264136	1.0881585	1.109615	1.0475333	1.0222215	1.108954
PF3D7_0107200	2.36558	1.828099	1.164402	1.0992143	1	1	1	1	1	1.310226	4.18886	9.92577	15.0488	15.4698	8.29936	3.76499	1.568973	1.676315	1.465595	1.155398	1	1.125681	1.03917	1.192054
PF3D7_0107300	3.22127	4.36748	1.802251	1.564839	1.12454	1.512575	1.223581	1.122345	1.0725514	1.189231	1.115267	1.312231	2.75784	3.03985	2.5535	2.90805	1.771246	2.89461	2.62287	1.505542	1.366673	1.408868	1.0637142	1.117149
PF3D7_0107400	26.7054	3.59799	1.515776	1.311264	1	1.247155	1	1.23597	1.279864	1.97327	1.444639	4.76381	23.7356	34.2905	40.8078	24.3951	9.03264	12.3162	3.50407	1.975056	1	1.131433	1.122888	1.150632
PF3D7_0107500	52.8731	635.437	761.093	545.439	502.443	541.672	614.605	502.712	438.263	280.568	327.47	254.635	134.969	86.2208	67.3025	94.7892	375.814	325.14	552.286	515.164	582.168	545.17	486.318	412.15
PF3D7_0107700	4.89175	2.57332	1.702787	1	1.109099	1.224513	1.326435	1.214353	1.127113	1	1.504881	4.11129	10.10351	11.401	9.5056	5.6563	2.89175	2.44556	1.758222	1.442865	1.458874	1.208936	1.334889	1.136833
PF3D7_0107800	8.06397	4.38855	1.456946	1.298741	1.159604	1.145976	1.148572	1.226476	1.4339	5.45499	9.92891	11.537	19.3313	18.6215	14.2726	11.5186	3.48196	4.18518	2.03219	1.443917	1.26852	1.184365	1.263104	2.54581
