time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63	66	69
PF3D7_0105300	235.345	47.2053	16.8583	6.70052	3.61171	3.07982	8.97083	12.4555	44.2763	114.348	473.53	910.31	308.72	67.2978	16.505	4.34051	3.86554	1	2.66181	10.36046	31.3497	45.6482	242.809	579.16
PF3D7_0105400	129.409	28.8404	7.95365	4.1666	2.23552	1.249263	4.64678	2.76627	2.96759	13.4135	154.889	360.381	145.849	34.3245	7.8633	1.620833	1.588707	1.350259	3.16233	4.40975	4.76047	11.2348	87.4642	253.799
PF3D7_0105500	2.62916	2.96388	1.867594	1.978137	1.570354	4.0334	16.1319	18.7342	22.304	17.7548	9.55047	3.97945	2.1524	1.566768	1.302326	1.109179	1.702414	3.12507	8.47712	14.62	14.887	15.7183	10.91616	7.40297
PF3D7_0105600	6.923	12.409	25.6106	30.9562	28.2582	24.4019	20.7072	19.6052	18.8927	14.5318	9.78052	4.81501	4.38687	10.71403	23.8924	34.1391	38.7123	38.437	26.3865	25.0621	24.5905	20.6475	11.036	9.43331
PF3D7_0105700	7.3145	3.86567	3.05702	2.37703	2.11526	2.82077	11.9265	20.9778	31.0088	24.4448	21.8331	17.7074	6.3483	3.23147	2.1296	1.60079	1.714582	1.939951	6.59072	12.7289	17.3981	16.6923	24.043	19.0612
PF3D7_0105800	29.4286	9.16622	4.28496	2.65316	2.00331	2.68021	11.3704	31.827	48.7217	70.9263	115.24	170.61	50.1727	12.6708	3.9125	1.850132	1.763173	1.435009	8.16005	17.5432	31.1764	40.5823	74.8675	95.5118
PF3D7_0105900	5.73824	2.11061	1.516131	1.592668	1.236974	1.994674	7.34754	14.3815	14.5166	16.1584	23.0447	35.9712	6.71301	2.825	1.395677	1.119076	1.715014	1.806159	5.79159	9.64187	15.7401	13.0737	10.94225	19.4433
PF3D7_0106000	35.7952	9.4145	5.39604	3.14831	2.47858	2.27208	7.28021	13.3805	24.681	37.1925	104.692	192.58	56.4718	12.3607	4.56604	2.27365	1.546278	1.808387	4.38802	10.43083	15.5448	30.2036	59.347	118.15
PF3D7_0106100	35.1458	32.2433	65.7848	78.4565	96.711	111.589	110.282	88.0224	104.433	92.9197	87.4109	93.9602	49.0311	39.4695	68.3161	85.4625	80.9241	95.8447	100.5407	85.5343	91.7584	104.616	87.7896	78.0702
PF3D7_0106200	11.5305	4.2663	3.36123	2.01677	1.152455	1.779027	2.74235	5.74032	11.732	22.0467	35.3029	40.8202	10.99713	4.63591	2.01822	1.204284	1.525712	1.518635	1	3.88502	7.37995	18.7946	44.8461	42.4711
PF3D7_0106300	303.623	373.144	282.303	209.867	180.533	147.585	150.739	139.634	179.433	196.433	240.233	223.99	289.092	395.333	289.336	239.614	207.586	169.944	133.211	167.306	177.075	263.139	348.359	319.617
PF3D7_0106400	58.1194	260.481	320.393	339.024	321.827	333.984	264.556	157.052	87.0106	41.7547	16.9098	10.64498	117.324	234.693	342.705	352.795	241.312	286.356	257.007	153.66	84.6836	50.2985	17.8816	10.44668
PF3D7_0106500	3.22888	2.07963	1.617874	1.604942	1.386338	1.331067	1.815873	4.03164	8.70696	13.6326	15.3173	10.50173	2.7062	1.734435	1.511072	1.371378	1.115845	1.228571	1.313514	1.900625	5.20483	7.17741	9.75805	8.27693
PF3D7_0106600	4.53644	1.607873	1.0941647	1.0648771	1.194554	1.213032	1.208452	1	1	1.105466	1.802401	1.653352	1.625381	1.193331	1.0721887	1.130348	1	1.110309	1	1	1	1	1.0623095	1.196011
PF3D7_0106700	66.7715	113.354	111.337	98.6295	96.4715	89.5835	73.9953	52.2021	40.7445	21.71	18.149	39.8341	95.7043	131.434	118.873	112.387	78.8761	70.2715	54.1199	47.0576	33.1806	21.6376	17.7136	21.2323
PF3D7_0106800	34.2013	13.606	7.68611	12.5676	24.0237	27.779	42.7718	55.8569	82.9053	110.998	127.468	104.778	25.472	11.0667	7.9482	10.97512	21.3775	30.5891	45.1664	66.3542	93.8462	180.867	180.035	213.476
PF3D7_0106900	3.33772	2.08765	1.491419	1.316003	1.169221	1.518819	2.93396	8.26951	9.4449	16.827	18.3239	12.0372	3.65447	1.73989	1.477194	1.113375	1.116705	2.03621	3.78994	5.96355	11.7125	7.05086	10.19163	9.01293
PF3D7_0107000	112.233	31.105	13.539	5.46848	5.24338	7.1952	50.1341	128.072	276.409	417.151	465.544	209.502	76.5228	25.6344	10.11548	4.44151	2.92533	7.83788	49.9794	142.23	216.812	437.12	472.222	478.917
PF3D7_0107100	2.12059	1.635	1.413141	1.158135	1.569062	3.04241	8.28268	9.21992	9.04754	7.461	4.28143	2.30941	1.548763	1.282742	1.175957	1.0635435	1.245288	4.11893	9.59292	10.3853	14.3143	10.57661	4.79693	3.05441
PF3D7_0107200	3.27916	1.373107	1.404581	1.167248	1.334364	2.40346	11.031	17.2818	18.2852	10.57631	5.02213	1.873335	1.85983	1.166131	1.248129	1.0560043	1.288247	3.74888	7.7608	13.0616	11.7488	15.0931	8.76373	3.86337
PF3D7_0107300	2.35934	1.546208	1.592286	1.362729	1.271939	1.198511	1.437047	1.801813	2.36736	3.57977	3.55466	3.23233	2.04896	1.337787	1.252255	1	1.468865	1.308369	1.158613	1.428842	2.03456	2.95232	3.13379	3.12331
PF3D7_0107400	10.53385	4.04341	1.761574	2.22431	2.049	2.34006	9.99143	32.3045	42.7018	40.995	39.697	22.5278	9.767	4.1272	1.778452	1.175702	1	2.18952	7.73029	19.6102	33.3253	36.4685	48.5383	38.254
PF3D7_0107500	1008.53	599.75	491.539	465.022	421.409	365.929	273.732	171.874	120.967	70.9623	49.313	332.149	1116.22	819.039	538.13	507.173	365.631	315.553	233.268	182.927	119.992	86.7091	56.6982	88.9796
PF3D7_0107700	3.38162	1.318993	1.0576504	1.0794393	1.357336	1.608648	4.36067	7.17264	6.50254	7.2417	5.61233	4.15557	1.918905	1.177545	1.22098	1.0399014	1.205367	1.945481	7.11371	9.45266	12.4646	11.3168	4.89107	5.14013
PF3D7_0107800	3.6395	2.65925	1.918351	2.36874	4.42696	9.56488	14.553	18.0777	20.7017	20.9346	14.7967	8.75897	3.06623	1.865783	1.502878	2.27123	4.87231	6.48878	12.082	13.5794	18.3243	13.4831	14.3814	9.99242
PF3D7_0107900	4.15545	2.93709	3.20553	9.03192	24.3268	34.9771	33.1616	34.5413	30.3228	26.7609	17.6062	8.52996	3.09253	2.07814	3.25441	11.3221	16.9005	26.9596	32.5569	23.4137	23.4542	24.619	13.7178	8.43302
PF3D7_0108000	97.1522	83.7041	123.371	145.903	183.75	210.433	248.091	261.881	366.438	365.947	370.977	242.202	79.7733	68.8592	131.406	173.096	300.116	240.088	288.732	369.194	421.447	575.593	571.933	570.217
PF3D7_0108100	2.88094	1.889536	1.445189	1.74125	2.30306	3.6578	5.35268	7.45141	8.97324	11.8865	10.37854	8.49344	2.3305	1.799772	1.824788	1.873027	1.726867	2.95568	4.90448	5.92572	7.99859	9.62718	10.47582	8.87692
PF3D7_0108300	219.711	277.5	232.311	234.875	226.342	286.374	203.607	144.968	114.227	84.9636	75.9892	132.701	235.014	301.018	268.42	255.972	255.71	233.414	229.236	166.68	118.979	91.1785	82.8776	90.2596
PF3D7_0108400	90.1278	88.0876	73.4951	62.526	55.5294	52.7957	42.4395	40.3193	31.3561	26.0004	13.6922	15.3452	74.2975	85.2857	71.6579	61.0143	35.6547	51.1461	35.8224	29.3253	25.6024	23.6165	23.097	12.153
PF3D7_0108500	9382.48	6624.33	3252.58	1942.77	959.753	446.949	143.289	77.377	39.865	23.2741	20.1064	829.369	7750.15	7773.12	3845.85	2140.04	1599.17	854.309	260.398	189.356	85.29	51.5645	34.5441	243.498
PF3D7_0108600	5.46277	3.86608	3.01097	2.00764	1.755433	2.5165	10.17316	28.8762	37.2633	37.3442	22.896	16.4328	5.97799	3.81506	2.1212	1.379594	2.13967	2.07079	6.06712	18.0505	28.7336	31.6162	46.001	30.0166
PF3D7_0108700	22.066	34.6933	42.6715	43.2958	51.144	51.2436	38.3481	38.7534	49.465	55.0343	51.7917	29.5702	20.7702	30.5871	39.138	47.8804	51.0441	48.2588	39.6405	35.0749	37.586	45.3309	51.3509	39.0259
PF3D7_0108800	9.12118	16.6785	20.4618	26.3276	32.8909	33.1082	22.2387	24.0981	24.5301	29.6458	22.6742	18.1882	12.192	14.0895	25.8093	27.0628	25.969	31.2233	20.17	19.1607	17.88	23.9059	20.4898	16.9872
PF3D7_0108900	46.0495	9.84971	3.64724	2.02593	1.683686	1.49908	1	1	1	1.18531	7.57937	91.4351	59.0183	13.229	2.9026	1.114514	1	1	1.132924	1	1.13005	1	2.31378	14.4317
PF3D7_0109000	3980.5	573.854	149.165	57.2648	27.5883	11.3864	10.13655	4.49281	4.97459	5.51874	234.542	2652.42	3672.07	1021.71	138.264	40.3826	21.8149	6.37814	4.12955	6.6661	5.9209	8.45561	140.744	1179.93
PF3D7_0109100	37.8545	7.03321	2.59011	1.923389	1.422401	1.308346	1.100572	1.0419343	1.0884961	1.220498	4.87135	28.8097	43.6342	12.543	2.84594	1.613168	1.202301	1	1.127749	1.0555097	1.178552	1.0869538	2.11231	7.90359
PF3D7_0109200	7.46315	5.6391	17.9447	21.9775	32.5906	39.9336	49.6463	50.0224	55.0652	47.4573	30.8306	19.064	5.92344	5.62047	14.2946	25.4636	33.303	41.63	58.6437	53.7292	54.5879	63.0753	46.8133	39.854
PF3D7_0109300	1.321758	1.237028	1	1	1	1	1.252876	2.17037	2.7801	2.11949	1.973404	1.792591	1.455195	1	1.13136	1	1.305197	1	1.137661	1.837435	4.29977	3.95157	2.41729	1.980859
PF3D7_0109400	28.3341	12.1867	10.4838	14.3721	26.2906	60.377	127.942	128.845	114.132	70.6605	43.9128	46.3985	18.5773	9.1508	8.60865	13.8227	40.6766	68.1753	114.934	134.122	144.889	115.819	76.0142	79.7355
PF3D7_0109500	54.1092	82.6793	155.067	199.621	259.601	249.083	171.437	116.047	122.782	101.681	76.8718	33.3236	41.8625	72.8207	135.848	220.62	507.408	489.257	300.574	220.869	196.788	240.794	113.125	102.736
PF3D7_0109600	12.8537	15.3111	15.2033	13.1415	11.3253	13.496	22.5434	29.8417	21.4937	15.4349	5.48258	4.64992	10.08353	23.9508	23.382	12.833	15.0545	20.1033	27.6253	32.9227	36.5598	23.4019	15.7938	8.93881
PF3D7_0109700	58.268	148.569	117.907	122.532	80.1528	69.0018	26.6991	34.4322	21.2909	30.8704	21.4978	15.6584	87.5191	154.638	157.733	126.997	66.0504	78.1862	37.601	17.4078	16.9812	7.30546	9.71994	6.29024
PF3D7_0109800	58.2662	155.424	174.387	149.028	124.796	105.447	80.4759	65.397	61.9121	62.1992	45.2278	25.4724	76.0163	147.377	169.239	158.1	113.621	125.005	69.3878	58.4251	55.5011	57.7633	52.6591	31.3527
PF3D7_0109850	5.96413	2.90464	1.826124	1.455343	1.170686	1.280346	1.640076	3.05882	11.433	24.2397	33.6169	22.7497	6.92551	2.65373	1.221664	1.0571782	1	1	1.199111	2.34584	8.27276	22.6618	28.2506	33.4583
PF3D7_0109950	9.20032	11.4709	3.40185	4.15919	15.4363	21.9119	41.4411	63.0746	85.4973	93.1158	99.4058	60.9266	21.302	7.27617	4.18045	6.13827	4.50021	5.34835	12.227	21.2757	33.0945	39.0298	50.9914	31.4523
PF3D7_0110000	43.7357	7.75474	3.35432	3.79356	9.5125	11.258	20.1098	26.9321	32.2525	33.1797	30.1639	36.1913	37.4838	9.72752	3.80759	3.17265	14.2791	11.7254	20.2298	37.5432	37.4971	48.3135	47.8228	57.4943
PF3D7_0110100	4.12372	12.0641	25.1713	25.9367	21.1532	14.324	13.74	14.27	16.5143	13.167	8.32622	4.55589	3.94612	11.893	26.8148	29.9758	17.2513	13.017	11.6511	12.5176	13.9567	15.3997	11.6406	5.80059
PF3D7_0110200	4.77536	26.9576	48.391	39.7857	32.7482	32.6229	31.943	31.4344	29.906	32.2038	16.2286	7.42136	9.77459	26.6517	44.1569	39.9631	29.6483	52.4785	44.1502	37.4969	39.3793	40.5799	28.1778	21.3275
PF3D7_0110300	4.13463	6.38807	3.50397	6.17552	3.58674	2.25885	3.46357	2.23265	2.08388	3.18127	1.790259	1.643465	1	3.57048	4.8392	6.1992	20.3264	18.5996	5.02336	1.679872	3.62425	3.39623	2.1046	2.73741
PF3D7_0110400	99.7143	184.736	209.477	190.116	179.419	161.654	104.442	90.1572	91.632	65.7932	46.0002	26.4453	109.884	182.363	202.872	213.244	207.079	220.334	137.344	100.1322	96.0001	84.616	72.5565	38.8498
PF3D7_0110500	13.2852	10.30449	8.25176	12.5811	20.9603	31.4342	35.9855	37.3232	35.2074	24.3878	13.8131	10.41899	12.3729	10.20431	8.93871	14.4889	21.0766	26.4621	28.2066	25.7754	28.1218	14.8795	15.8846	8.98852
PF3D7_0110600	210.927	189.851	160.465	126.795	110.458	93.8216	65.5518	50.9529	54.3118	46.263	38.7174	65.068	196.754	226.882	163.068	135.444	108.96	108.605	73.9636	58.3678	48.8625	43.9466	45.6317	42.3368
