time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60
PF3D7_0106000	4.12129	2.77913	2.265	2.59309	4.09905	10.10632	19.1056	27.8111	38.189	121.993	188.388	140.526	97.2547	38.9865	4.32717	3.88026	5.50181	8.95529	17.534	22.4179	36.4594
PF3D7_0106100	69.5863	81.8934	94.1963	105.328	109.945	94.2745	84.8617	85.7792	89.6735	82.6937	108.773	118.354	74.949	47.9823	57.4459	79.3042	97.2584	94.7612	79.6535	80.5204	81.9316
PF3D7_0106200	3.97825	2.18257	1.373143	1.556867	1.180665	3.22514	6.74475	12.6036	18.2537	30.3382	33.0557	19.1458	12.0675	7.0858	1.982602	1.670714	1.916583	3.12083	5.48132	9.78476	14.8895
PF3D7_0106300	318.532	222.509	173.556	162.005	154.772	138.388	139.18	171.794	239.233	309.859	240.867	189.461	152.057	210.811	161.784	160.958	158.613	146.417	135.15	151.374	177.524
PF3D7_0106400	333.932	258.774	236.757	225.518	210.58	190.657	112.447	57.4609	28.7447	16.2455	10.78203	16.0141	27.4807	49.8518	191.011	229.371	251.981	208.691	127.856	79.5625	38.6976
PF3D7_0106500	2.4504	2.6255	2.14536	1.688705	1.540654	2.37741	6.28438	11.2965	17.0636	15.4211	12.9509	9.40592	6.45785	5.39661	2.5872	1.783172	1.676774	2.56716	5.82787	9.9887	12.4048
PF3D7_0106600	1.600104	2.00722	1.554473	1.412955	1.28891	1.0887017	1.10788	1.0479561	1.44586	1.293733	1.717543	2.4432	1.611594	2.19445	4.38236	1.941556	1.651274	1.104926	1.0474554	1.283068	1.37276
PF3D7_0106700	118.22	97.3175	84.1152	84.8912	82.5754	56.1473	38.2206	28.7493	23.0549	18.6078	35.3049	33.8119	27.262	35.4291	64.1307	70.5466	68.0607	53.3623	39.1884	31.2554	21.1981
PF3D7_0106800	2.73596	2.45515	5.25781	14.6435	33.4662	44.7553	53.9036	74.5426	142.317	156.911	97.1938	95.5061	44.1205	25.6657	3.57216	8.42794	21.711	36.6368	49.3546	71.6328	93.6084
PF3D7_0106900	2.00895	1.84778	1.742258	2.40977	4.28577	9.82068	15.9079	28.1937	26.2956	24.944	21.7212	15.8538	10.21121	7.64499	3.48096	2.45896	3.65734	7.22598	14.6995	20.984	23.9824
PF3D7_0107000	9.25256	5.22055	3.18726	6.72893	11.9331	53.0948	131.656	217.673	375.465	296.733	162.539	136.066	70.9994	55.3111	7.90334	6.88373	15.8488	46.6152	116.321	181.466	251.507
PF3D7_0107100	1.390008	1.450476	1.385402	2.91996	5.37545	9.66569	9.99647	8.97621	5.88394	3.64951	2.43508	2.1783	4.41563	2.94002	2.49462	2.08476	4.37165	6.40946	8.58061	9.50025	7.68021
PF3D7_0107200	1.429712	1.793567	1.40818	2.77253	8.89938	16.9664	16.8073	18.2686	11.2893	5.41732	3.53343	4.1459	2.83748	3.65117	1.645698	1.956153	5.42343	13.7832	16.5195	17.3132	13.1042
PF3D7_0107300	1.629048	1.352136	1.663549	1.287997	1.2426	1.619739	1.82953	2.50091	2.40847	2.84773	5.50778	7.81079	5.90441	7.88493	2.04995	1.418712	1.546787	1.773215	2.35658	2.24045	2.14224
