time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63
PF3D7_0105800	32.6955	27.4836	15.426	7.72832	5.12613	4.56216	3.15231	3.20554	2.7383	4.03382	6.15207	3.59888	4.78281	7.02729	16.2105	22.9566	21.7021	55.7632	47.7418	50.6956	31.7643	58.0147
PF3D7_0105900	9.90789	11.2688	8.38712	3.32897	2.50614	1.58619	1.78987	2.0121	1.383503	1.747993	2.03113	1.948654	2.95287	5.7999	8.97153	11.7311	6.36885	13.54	9.29076	8.047	10.09973	11.4059
PF3D7_0106000	26.024	32.9135	12.9931	6.47522	3.99009	3.37736	3.5677	3.21303	3.01682	3.14303	5.82522	4.31185	4.24928	5.69182	11.1662	12.4122	18.6568	54.5379	98.5714	107.286	30.8734	57.2617
PF3D7_0106100	42.1101	41.8828	28.8495	32.8695	46.0662	52.4501	53.9925	60.8671	54.1258	57.8139	51.6201	68.5279	76.7089	80.8501	95.3704	65.4177	71.4205	58.2969	100.4073	88.756	45.9205	45.9005
PF3D7_0106200	10.39478	4.28848	3.86655	4.89563	4.87584	2.81017	3.39132	2.13947	2.48034	2.92486	3.98515	1.712026	1.781738	1.518987	1.788987	2.81895	7.66979	17.2378	12.4882	8.15835	9.20514	22.1406
PF3D7_0106300	109.202	88.0459	120.324	294.857	340.14	336.311	270.238	252.3	242.851	229.249	200.866	200.572	142.981	112.311	162.432	147.474	262.588	221.801	319.228	221.187	125.512	253.56
PF3D7_0106400	38.948	46.0967	41.6272	97.8836	137.466	157.717	140.72	161.455	154.055	154.581	140.489	175.491	149.136	148.519	86.1159	63.12	45.3474	18.5955	9.57379	20.8316	34.5611	10.37094
PF3D7_0106500	6.52746	5.06317	3.94223	2.25463	2.2617	1.997215	2.08024	1.771205	1.434939	1.363563	1.86793	1.414666	1.455264	1.857721	2.14747	4.04258	4.09695	9.46971	2.70489	2.94546	4.06762	8.22068
PF3D7_0106700	11.1871	13.5188	27.2961	61.9134	61.9547	62.7349	52.0569	49.7736	50.5507	54.6766	36.4176	44.9753	40.4618	41.7815	30.0161	24.4296	25.4878	13.9361	20.0986	23.7201	22.2818	17.9465
PF3D7_0106800	60.7787	41.0847	24.9997	14.5766	12.3518	15.8836	19.418	17.7985	23.058	22.0405	27.0471	19.2289	34.0562	45.5183	72.4916	78.5811	178.711	163.24	204.944	126.883	49.4517	102.455
PF3D7_0106900	11.9076	8.92597	6.66024	4.19314	2.29062	1.63626	1.690118	2.04796	1.744888	1.427308	1.938805	2.03872	2.61146	3.09686	2.06842	4.94619	2.21625	6.29296	2.30118	2.85397	3.55828	10.07333
PF3D7_0107000	171.933	129.693	89.4062	55.4344	40.4868	24.866	18.8659	14.9501	18.6379	25.5724	38.1708	24.2455	26.0306	36.277	79.2484	179.53	347.514	454.462	183.375	94.3298	123.09	228.11
PF3D7_0107100	7.39982	5.63957	3.95654	2.39818	2.1508	1.563064	1.743833	1.405071	1.491165	1.427669	1.954338	2.48708	4.2306	8.97482	9.76143	16.4564	8.26135	6.21067	2.38562	2.85554	3.78167	2.53438
PF3D7_0107200	4.91487	4.86372	5.13612	3.38243	3.02852	3.15045	1.786696	1.803274	1.487002	2.35694	2.27303	2.45007	3.2656	6.69121	14.5837	14.9172	18.2403	4.77539	6.78475	8.98067	4.53844	10.27312
PF3D7_0107300	4.30966	4.92797	2.95108	1.868597	1.864184	1.807218	1.586504	1.544421	1.704143	1.367868	1.406749	1.771112	1.846608	2.15717	1.949957	3.10156	2.48714	2.7415	4.3456	3.34091	3.50782	1.942733
PF3D7_0107400	30.0892	23.425	17.6096	11.0517	8.57627	5.67072	5.31916	4.64015	4.56502	3.36506	6.27761	8.87377	7.91573	9.39183	22.0365	22.049	48.1221	31.0532	41.7331	17.8286	21.6163	42.2143
